hazard_name,region_scope,label_source,data_validity,status,label_integrity,leakage_severity,n_total,n_positive,positive_rate,n_test_positive,roc_auc,f1_positive,recall_positive,precision_positive,promotion_status,primary_reason,recommended_fix,required_dataset,dissertation_suitability
flood,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
drought,UNKNOWN,UNKNOWN,UNKNOWN,NOT_TRAINABLE,unknown,unknown,0,0,0.0000,0,,,,,,,,,
heatwave,MULTI-REGION,"Formally declared heatwave episodes from national meteorological services: Met Office HHA Level 3+ (UK), Météo-France canicule orange/rouge, AEMET aviso rojo (Spain), HHWS Level 3 (Italy), HNMS extreme heat advisories (Greece), DWD (Germany), IPMA (Portugal).  Static table in data_fetch_events.OFFICIAL_HEATWAVES (30+ episodes, 2019–2025).  Labels are authoritative declarations from public health / meteorological bodies — independent of any ERA5 feature variable.",independent,TRAINABLE,clean,none,473040,4848,0.0102,728,0.9523,0.1573,0.9725,0.0856,rejected,,,,strong
severe_storm,GLOBAL,"IBTrACS v04r00 (Knapp et al., 2010; WMO authoritative global tropical cyclone track archive): all named storms 2015–2023, WMO_WIND >= 34 knots, 500 km spatial radius, 12 h lead window.  Supplements with Met Office / Met Éireann Named Storm archive for extratropical NW European storms. 28 globally distributed locations across all 6 tropical cyclone basins. Source: NCEI — https://www.ncei.noaa.gov/products/international-best-track-archive",independent,NOT_TRAINABLE,clean,none,491064,984,0.0020,0,,,,,,"Degenerate test set: 0 positive samples in the test fold.  ROC-AUC is undefined, and any reported metrics would be misleading (a model that always predicts 0 looks perfect).  This is a chronological distribution problem — the positive class events do not occur in the most recent 15% of the date range.  Use a longer date range or seasonal-stratified splitting for this hazard.",,"IBTrACS v04r00 CSV files (auto-downloaded from NCEI ~5–30 MB each): from app.training.data_fetch_ibtracs import download_ibtracs_basin; download_ibtracs_basin('NA')  # repeat for WP, EP, NI, SI, SP",strong
wildfire,GLOBAL,NASA FIRMS (Fire Information for Resource Management System): VIIRS SNPP 375m and MODIS Collection 6.1 1km active fire pixel detections (https://firms.modaps.eosdis.nasa.gov/api/).  Satellite thermal anomaly detections are entirely independent of ERA5 meteorological features.  Requires FIRMS_MAP_KEY env var.  Falls back to simplified FWI threshold proxy if API unavailable.,independent,PARTIAL,clean,none,245280,72,0.0003,24,0.9922,0.1481,0.8333,0.0813,rejected,,,"NASA FIRMS MAP_KEY (free registration at https://firms.modaps.eosdis.nasa.gov/api/map_key/).  Set as FIRMS_MAP_KEY environment variable before training.  Without it, training falls back to FWI-threshold proxy labels and data_validity is demoted to 'proxy'.",strong
landslide,GLOBAL,NASA Global Landslide Catalog (GLC) / COOLR event records matched to weather stations by proximity (25km radius); BGS National Landslide Database for UK stations where accessible,invalid,NOT_TRAINABLE,clean,none,245532,3300,0.0134,0,,,,,,data_validity='invalid' — labels are not independent of the feature set.  Training would produce misleading metrics.,"No fix required — NASA GLC API auto-queries on training.  To improve UK coverage, add BGS BNLD data once bulk access is available. Consider raising _MATCH_RADIUS_DEG from 0.23 (~25km) to 0.45 (~50km) for regions where the GLC has coarser location precision.","NASA GLC API is queried automatically — no registration required.  If the API is unreachable, the pipeline falls back to BGS rainfall thresholds and the validator blocks training as NOT_TRAINABLE.  The fallback is intentionally blocked to prevent tautological training.",strong
power_outage,UK+US,"UK Named Storm Outage Records (Ofgem / SSEN / WPD / ENW / NIE Networks, 2015–2025): 27 major storm events with customer counts, start/end times, and region centroids. EIA Form OE-417 (US federal NERC reporting, 2015–2024): all weather-caused electric disturbance events with state, cause, and customer counts. Both sources are independent OBSERVED utility records, not weather thresholds.",independent,NOT_TRAINABLE,clean,none,350300,882,0.0025,0,,,,,,"Degenerate test set: 0 positive samples in the test fold.  ROC-AUC is undefined, and any reported metrics would be misleading (a model that always predicts 0 looks perfect).  This is a chronological distribution problem — the positive class events do not occur in the most recent 15% of the date range.  Use a longer date range or seasonal-stratified splitting for this hazard.",,"UK storm outage records are embedded (no download required). EIA OE-417 (US, optional): from app.training.data_fetch_outages import download_eia_oe417; download_eia_oe417()  — or manually from https://www.eia.gov/electricity/disturbances/",strong
water_supply_disruption,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
infrastructure_damage,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
public_safety_incident,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
environmental_hazard,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
