hazard_name,region_scope,label_source,data_validity,status,label_integrity,leakage_severity,n_total,n_positive,positive_rate,n_test_positive,roc_auc,f1_positive,recall_positive,precision_positive,promotion_status,primary_reason,recommended_fix,required_dataset,dissertation_suitability
flood,GLOBAL,EM-DAT (CRED) global flood disaster catalog — independent of ERA5 reanalysis. Positive = EM-DAT documented flood event within 300 km of station.,independent,TRAINABLE,clean,none,1423008,15750,0.0111,2496,0.9765,0.2716,0.9868,0.1575,rejected,,,,strong
drought,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
heatwave,MULTI-REGION,"Formally declared heatwave episodes from national meteorological services: Met Office HHA Level 3+ (UK), Météo-France canicule orange/rouge, AEMET aviso rojo (Spain), HHWS Level 3 (Italy), HNMS extreme heat advisories (Greece), DWD (Germany), IPMA (Portugal).  Static table in data_fetch_events.OFFICIAL_HEATWAVES (30+ episodes, 2019–2025).  Labels are authoritative declarations from public health / meteorological bodies — independent of any ERA5 feature variable.",independent,TRAINABLE,clean,none,1421712,6864,0.0048,1224,0.9510,0.1174,0.8170,0.0632,rejected,,,,strong
severe_storm,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
wildfire,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
landslide,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
power_outage,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
water_supply_disruption,UNKNOWN,UNKNOWN,UNKNOWN,unknown,unknown,unknown,0,0,0.0000,0,,,,,,,,,
infrastructure_damage,MULTI-REGION,"EM-DAT (Emergency Events Database, CRED / Université catholique de Louvain, 2000–present): globally validated disaster records covering floods, storms, landslides, wildfires, and transport/industrial accidents with infrastructure damage.  Events matched to training stations by lat/lon haversine (300km) or ISO country code.  EM-DAT data is curated from national disaster management agencies, UN OCHA, insurance reports, and peer-reviewed literature — entirely independent of ERA5 reanalysis.  Free registration: https://public.emdat.be",independent,TRAINABLE,clean,none,1423008,16788,0.0118,2664,0.9655,0.2526,1.0000,0.1445,rejected,,,EM-DAT export (requires free registration at https://public.emdat.be): download full Excel export and save to {ai-engine}/data/emdat/emdat_export.xlsx,strong
public_safety_incident,UK+US,"UK DfT Stats19 Road Safety Data (2015–2023): police-reported road injury accidents with adverse weather condition codes (rain, snow, fog, high winds) — ~130,000 adverse-weather accidents/year.  US NHTSA FARS Fatal Accident Reporting System (2015–2022): all US fatal accidents with adverse atmospheric condition codes.  Both are observed police/NHTSA records — independent of ERA5 reanalysis.  Stats19 free: https://data.gov.uk/dataset/road-safety-data  FARS free: https://www.nhtsa.gov/research-data/fatality-analysis-reporting-system-fars",independent,TRAINABLE,clean,none,1347940,373335,0.2770,38160,0.8373,0.5249,0.8540,0.3789,rejected,,,"Stats19 CSV files (free, ~5 MB/year): https://data.gov.uk/dataset/road-safety-data — or auto-downloaded via from app.training.data_fetch_road_accidents import download_stats19; download_stats19().  NHTSA FARS ZIP files (free): https://www.nhtsa.gov/research-data/fatality-analysis-reporting-system-fars",strong
environmental_hazard,MULTI-REGION,"DEFRA UK-AIR hourly air quality exceedance records (AQI >= 7, PM2.5 > 35 µg/m³, PM10 > 50 µg/m³, NO2 > 200 µg/m³); OpenAQ global database as supplementary source",independent,TRAINABLE,clean,none,1422684,19915,0.0140,3869,0.7941,0.0699,0.8780,0.0364,rejected,,,,strong
