hazard_name,region_scope,label_source,data_validity,status,label_integrity,leakage_severity,n_total,n_positive,positive_rate,n_test_positive,roc_auc,f1_positive,recall_positive,precision_positive,promotion_status,primary_reason,recommended_fix,required_dataset,dissertation_suitability
flood,GLOBAL,EM-DAT (CRED) global flood disaster catalog — independent of ERA5 reanalysis. Positive = EM-DAT documented flood event within 300 km of station.,independent,TRAINABLE,clean,none,472905,15750,0.0333,2496,0.9876,0.6416,0.7853,0.5423,rejected,,,,strong
drought,GLOBAL,"CSIC SPEI Global Database v2.9 (Vicente-Serrano et al., 2010). SPEI-3 < -1.0 (WMO moderate drought) derived from CRU TS4 OBSERVED station precipitation and temperature (Harris et al., 2020). 24 globally distributed drought-prone locations across 5 continents. Entirely independent of ERA5 reanalysis used for features. DOI: 10.20350/digitalCSIC/8508",independent,TRAINABLE,clean,none,418776,139878,0.3340,43826,0.6853,0.6689,0.5787,0.7924,rejected,,,"CSIC SPEI Global NetCDF (spei03.nc, ~150 MB): https://spei.csic.es/database.html  or: from app.training.data_fetch_spei import download_spei_dataset; download_spei_dataset(3)",strong
heatwave,MULTI-REGION,"Formally declared heatwave episodes from national meteorological services: Met Office HHA Level 3+ (UK), Météo-France canicule orange/rouge, AEMET aviso rojo (Spain), HHWS Level 3 (Italy), HNMS extreme heat advisories (Greece), DWD (Germany), IPMA (Portugal).  Static table in data_fetch_events.OFFICIAL_HEATWAVES (30+ episodes, 2019–2025).  Labels are authoritative declarations from public health / meteorological bodies — independent of any ERA5 feature variable.",independent,TRAINABLE,clean,none,473040,4848,0.0102,728,0.9523,0.1573,0.9725,0.0856,rejected,,,,strong
severe_storm,GLOBAL,"IBTrACS v04r00 (Knapp et al., 2010; WMO authoritative global tropical cyclone track archive): all named storms 2015–2023, WMO_WIND >= 34 knots, 500 km spatial radius, 12 h lead window.  Supplements with Met Office / Met Éireann Named Storm archive for extratropical NW European storms. 28 globally distributed locations across all 6 tropical cyclone basins. Source: NCEI — https://www.ncei.noaa.gov/products/international-best-track-archive",independent,TRAINABLE,clean,none,491064,12852,0.0262,1218,0.9790,0.1922,1.0000,0.1063,rejected,,,"IBTrACS v04r00 CSV files (auto-downloaded from NCEI ~5–30 MB each): from app.training.data_fetch_ibtracs import download_ibtracs_basin; download_ibtracs_basin('NA')  # repeat for WP, EP, NI, SI, SP",strong
wildfire,GLOBAL,NASA FIRMS (Fire Information for Resource Management System): VIIRS SNPP 375m and MODIS Collection 6.1 1km active fire pixel detections (https://firms.modaps.eosdis.nasa.gov/api/).  Satellite thermal anomaly detections are entirely independent of ERA5 meteorological features.  Requires FIRMS_MAP_KEY env var.  Falls back to simplified FWI threshold proxy if API unavailable.,independent,PARTIAL,clean,none,245280,72,0.0003,24,0.9922,0.1481,0.8333,0.0813,rejected,,,"NASA FIRMS MAP_KEY (free registration at https://firms.modaps.eosdis.nasa.gov/api/map_key/).  Set as FIRMS_MAP_KEY environment variable before training.  Without it, training falls back to FWI-threshold proxy labels and data_validity is demoted to 'proxy'.",strong
landslide,GLOBAL,NASA Global Landslide Catalog (GLC) / COOLR event records matched to weather stations by proximity (25km radius); BGS National Landslide Database for UK stations where accessible,independent,TRAINABLE,clean,none,245210,384,0.0016,24,0.9598,0.0160,1.0000,0.0081,rejected,,,"NASA GLC API is queried automatically — no registration required.  If the API is unreachable, the pipeline falls back to BGS rainfall thresholds and the validator blocks training as NOT_TRAINABLE.  The fallback is intentionally blocked to prevent tautological training.",strong
power_outage,UK+US,"UK Named Storm Outage Records (Ofgem / SSEN / WPD / ENW / NIE Networks, 2015–2025): 27 major storm events with customer counts, start/end times, and region centroids. EIA Form OE-417 (US federal NERC reporting, 2015–2024): all weather-caused electric disturbance events with state, cause, and customer counts. Both sources are independent OBSERVED utility records, not weather thresholds.",independent,TRAINABLE,clean,none,350300,882,0.0025,44,0.9972,0.0526,1.0000,0.0270,promoted,,,"UK storm outage records are embedded (no download required). EIA OE-417 (US, optional): from app.training.data_fetch_outages import download_eia_oe417; download_eia_oe417()  — or manually from https://www.eia.gov/electricity/disturbances/",strong
water_supply_disruption,GLOBAL,"GRDC (Global Runoff Data Centre, WMO) measured daily discharge: Q10 low-flow (drought) and Q90 high-flow (turbidity/contamination) labels at 22 key gauges globally.  Curated static water supply disruption events (2015–2023): WHO/EA/USBR/ANA/BOM documented water crises and restrictions from Cape Town Day Zero, Jordan water crisis, São Paulo Cantareira, Lake Mead shortage, UK 2018/2022 droughts, and more. All labels are independent of ERA5 reanalysis.",independent,TRAINABLE,clean,none,157388,23976,0.1523,4152,0.9914,0.9638,1.0000,0.9301,rejected,,,"Static events are embedded (no download required). GRDC gauge data (optional, adds precision): free registration at https://grdc.bafg.de then: from app.training.data_fetch_grdc import download_grdc_station; download_grdc_station(6122100)  # Rhine at Cologne, etc.",strong
infrastructure_damage,MULTI-REGION,"EM-DAT (Emergency Events Database, CRED / Université catholique de Louvain, 2000–present): globally validated disaster records covering floods, storms, landslides, wildfires, and transport/industrial accidents with infrastructure damage.  Events matched to training stations by lat/lon haversine (300km) or ISO country code.  EM-DAT data is curated from national disaster management agencies, UN OCHA, insurance reports, and peer-reviewed literature — entirely independent of ERA5 reanalysis.  Free registration: https://public.emdat.be",independent,TRAINABLE,clean,none,472743,16788,0.0355,2664,0.9878,0.6651,0.9167,0.5219,rejected,,,EM-DAT export (requires free registration at https://public.emdat.be): download full Excel export and save to {ai-engine}/data/emdat/emdat_export.xlsx,strong
public_safety_incident,UK+US,"UK DfT Stats19 Road Safety Data (2015–2023): police-reported road injury accidents with adverse weather condition codes (rain, snow, fog, high winds) — ~130,000 adverse-weather accidents/year.  US NHTSA FARS Fatal Accident Reporting System (2015–2022): all US fatal accidents with adverse atmospheric condition codes.  Both are observed police/NHTSA records — independent of ERA5 reanalysis.  Stats19 free: https://data.gov.uk/dataset/road-safety-data  FARS free: https://www.nhtsa.gov/research-data/fatality-analysis-reporting-system-fars",independent,TRAINABLE,clean,none,385396,70026,0.1817,7389,0.9182,0.5478,0.8540,0.4032,rejected,,,"Stats19 CSV files (free, ~5 MB/year): https://data.gov.uk/dataset/road-safety-data — or auto-downloaded via from app.training.data_fetch_road_accidents import download_stats19; download_stats19().  NHTSA FARS ZIP files (free): https://www.nhtsa.gov/research-data/fatality-analysis-reporting-system-fars",strong
