hazard_name,region_scope,label_source,data_validity,status,label_integrity,leakage_severity,n_total,n_positive,positive_rate,n_test_positive,roc_auc,f1_positive,recall_positive,precision_positive,promotion_status,primary_reason,recommended_fix,required_dataset,dissertation_suitability
flood,UNKNOWN,UNKNOWN,UNKNOWN,SKIPPED,unknown,unknown,0,0,0.0000,0,,,,,skipped,,,,
drought,UNKNOWN,UNKNOWN,UNKNOWN,SKIPPED,unknown,unknown,0,0,0.0000,0,,,,,skipped,,,,
heatwave,UNKNOWN,UNKNOWN,UNKNOWN,SKIPPED,unknown,unknown,0,0,0.0000,0,,,,,skipped,,,,
severe_storm,GLOBAL,"IBTrACS v04r00 (Knapp et al., 2010; WMO authoritative global tropical cyclone track archive): all named storms 2015–2023, WMO_WIND >= 34 knots, 500 km spatial radius, 12 h lead window.  Supplements with Met Office / Met Éireann Named Storm archive for extratropical NW European storms. 28 globally distributed locations across all 6 tropical cyclone basins. Source: NCEI — https://www.ncei.noaa.gov/products/international-best-track-archive",independent,TRAINABLE,clean,none,983640,9150,0.0093,1177,0.8040,0.0547,0.5106,0.0289,rejected,,,"IBTrACS v04r00 CSV files (auto-downloaded from NCEI ~5–30 MB each): from app.training.data_fetch_ibtracs import download_ibtracs_basin; download_ibtracs_basin('NA')  # repeat for WP, EP, NI, SI, SP",strong
wildfire,GLOBAL,NASA FIRMS (Fire Information for Resource Management System): VIIRS SNPP 375m and MODIS Collection 6.1 1km active fire pixel detections (https://firms.modaps.eosdis.nasa.gov/api/).  Satellite thermal anomaly detections are entirely independent of ERA5 meteorological features.  Requires FIRMS_MAP_KEY env var.  Falls back to simplified FWI threshold proxy if API unavailable.,independent,TRAINABLE,clean,none,365904,13080,0.0357,5952,0.9807,0.6851,0.9341,0.5409,rejected,,,"NASA FIRMS MAP_KEY (free registration at https://firms.modaps.eosdis.nasa.gov/api/map_key/).  Set as FIRMS_MAP_KEY environment variable before training.  Without it, training falls back to FWI-threshold proxy labels and data_validity is demoted to 'proxy'.",strong
landslide,GLOBAL,NASA Global Landslide Catalog (GLC) / COOLR event records matched to weather stations by proximity (25km radius); BGS National Landslide Database for UK stations where accessible,independent,TRAINABLE,clean,none,1349642,384,0.0003,24,0.9908,0.0178,1.0000,0.0090,rejected,,,"NASA GLC API is queried automatically — no registration required.  If the API is unreachable, the pipeline falls back to BGS rainfall thresholds and the validator blocks training as NOT_TRAINABLE.  The fallback is intentionally blocked to prevent tautological training.",strong
power_outage,UK+US,"UK Named Storm Outage Records (Ofgem / SSEN / WPD / ENW / NIE Networks, 2015–2025): 27 major storm events with customer counts, start/end times, and region centroids. EIA Form OE-417 (US federal NERC reporting, 2015–2024): all weather-caused electric disturbance events with state, cause, and customer counts. Both sources are independent OBSERVED utility records, not weather thresholds.",independent,TRAINABLE,clean,none,1049660,2474,0.0024,123,0.9906,0.0319,0.9675,0.0162,promoted,,,"UK storm outage records are embedded (no download required). EIA OE-417 (US, optional): from app.training.data_fetch_outages import download_eia_oe417; download_eia_oe417()  — or manually from https://www.eia.gov/electricity/disturbances/",strong
water_supply_disruption,GLOBAL,"GRDC (Global Runoff Data Centre, WMO) measured daily discharge: Q10 low-flow (drought) and Q90 high-flow (turbidity/contamination) labels at 22 key gauges globally.  Curated static water supply disruption events (2015–2023): WHO/EA/USBR/ANA/BOM documented water crises and restrictions from Cape Town Day Zero, Jordan water crisis, São Paulo Cantareira, Lake Mead shortage, UK 2018/2022 droughts, and more. All labels are independent of ERA5 reanalysis.",independent,PARTIAL,clean,none,1428262,43641,0.0306,16082,0.5162,0.0385,0.0361,0.0411,rejected,,,"Static events are embedded (no download required). GRDC gauge data (optional, adds precision): free registration at https://grdc.bafg.de then: from app.training.data_fetch_grdc import download_grdc_station; download_grdc_station(6122100)  # Rhine at Cologne, etc.",strong
infrastructure_damage,UNKNOWN,UNKNOWN,UNKNOWN,SKIPPED,unknown,unknown,0,0,0.0000,0,,,,,skipped,,,,
public_safety_incident,UNKNOWN,UNKNOWN,UNKNOWN,SKIPPED,unknown,unknown,0,0,0.0000,0,,,,,skipped,,,,
environmental_hazard,UNKNOWN,UNKNOWN,UNKNOWN,SKIPPED,unknown,unknown,0,0,0.0000,0,,,,,skipped,,,,
